epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1263.71,0.83649,0.46353,1.02613,0.88862,0.97701,0.96054,0.70924,0.96903,0.46335,1.07558,0.0004358,0.0004358,0.0004358
81,1277.38,0.82564,0.45453,1.02553,0.91209,0.97701,0.95508,0.7065,0.99194,0.45663,1.07117,0.000416,0.000416,0.000416
82,1291.31,0.79724,0.44389,0.98284,0.89741,0.97701,0.96083,0.69525,0.98834,0.45675,1.06153,0.0003962,0.0003962,0.0003962
83,1306.19,0.83584,0.46826,1.01034,0.90336,0.96702,0.95854,0.70637,0.96039,0.44068,1.04365,0.0003764,0.0003764,0.0003764
84,1323.27,0.82706,0.45244,0.99838,0.89347,0.964,0.96262,0.70952,0.98985,0.43692,1.06062,0.0003566,0.0003566,0.0003566
85,1340.45,0.81026,0.45014,1.01154,0.8964,0.96552,0.95738,0.70349,0.98024,0.45129,1.05972,0.0003368,0.0003368,0.0003368
86,1356.05,0.79277,0.44356,1.00962,0.91387,0.97568,0.96347,0.7212,0.95738,0.43955,1.04984,0.000317,0.000317,0.000317
87,1370.17,0.78466,0.44872,0.99389,0.90712,0.96552,0.96728,0.71101,0.95291,0.44813,1.04305,0.0002972,0.0002972,0.0002972
88,1387.17,0.79389,0.43971,0.99602,0.91784,0.96552,0.96231,0.7164,0.93977,0.43644,1.04234,0.0002774,0.0002774,0.0002774
89,1401.37,0.77626,0.42823,0.99928,0.92368,0.97374,0.96377,0.72504,0.93059,0.43527,1.04026,0.0002576,0.0002576,0.0002576
90,1415.54,0.77913,0.43414,0.99492,0.91278,0.96229,0.96249,0.72654,0.92097,0.42447,1.04612,0.0002378,0.0002378,0.0002378
91,1447.69,0.77181,0.41275,0.99277,0.89447,0.97426,0.96269,0.73052,0.91023,0.42819,1.04185,0.000218,0.000218,0.000218
92,1465.41,0.76878,0.40166,0.99678,0.91276,0.96214,0.95739,0.71991,0.91244,0.43524,1.04436,0.0001982,0.0001982,0.0001982
93,1478.97,0.77113,0.4015,0.9926,0.92292,0.96346,0.96474,0.73484,0.91458,0.43032,1.04767,0.0001784,0.0001784,0.0001784
94,1495.54,0.75706,0.38693,0.9633,0.9174,0.95402,0.96269,0.72499,0.89384,0.43149,1.04904,0.0001586,0.0001586,0.0001586
95,1510.32,0.72434,0.38168,0.97476,0.88669,0.97701,0.96487,0.73288,0.88685,0.42902,1.05037,0.0001388,0.0001388,0.0001388
96,1527.98,0.74499,0.39155,0.98632,0.88655,0.98801,0.96076,0.74506,0.88151,0.42952,1.04701,0.000119,0.000119,0.000119
97,1541.66,0.72573,0.38198,0.97358,0.91056,0.96552,0.96572,0.75189,0.875,0.4268,1.05153,9.92e-05,9.92e-05,9.92e-05
98,1558.06,0.71306,0.37492,0.96929,0.90264,0.96552,0.95463,0.73346,0.88408,0.42834,1.052,7.94e-05,7.94e-05,7.94e-05
99,1572.9,0.72666,0.37061,0.96498,0.91199,0.96552,0.96555,0.74045,0.8736,0.42459,1.04921,5.96e-05,5.96e-05,5.96e-05
100,1590.57,0.68755,0.36843,0.96828,0.91212,0.96552,0.96464,0.73571,0.87674,0.41899,1.04847,3.98e-05,3.98e-05,3.98e-05
